#1D 255 -512,000000 260608,000000	[nbin xmin xmax]
#"X"	"Function_0"
0,000000	1,798292
1024,000000	3,756096
2048,000000	6,815547
3072,000000	10,544063
4096,000000	14,105625
5120,000000	17,565000
6144,000000	20,599141
7168,000000	24,182422
8192,000000	27,534609
9216,000000	31,062188
10240,000000	34,226328
11264,000000	37,387188
12288,000000	40,824766
13312,000000	44,595469
14336,000000	47,818984
15360,000000	51,103906
16384,000000	54,231406
17408,000000	57,088281
18432,000000	60,898516
19456,000000	64,015781
20480,000000	66,891328
21504,000000	70,144141
22528,000000	73,357266
23552,000000	76,311406
24576,000000	79,860391
25600,000000	82,592656
26624,000000	85,892344
27648,000000	88,528281
28672,000000	91,715937
29696,000000	94,559297
30720,000000	97,402812
31744,000000	100,379297
32768,000000	103,505313
33792,000000	106,441875
34816,000000	109,154766
35840,000000	112,137344
36864,000000	115,036797
37888,000000	117,705000
38912,000000	120,065234
39936,000000	123,108594
40960,000000	125,575703
41984,000000	128,401328
43008,000000	130,869297
44032,000000	133,543594
45056,000000	136,121797
46080,000000	138,205000
47104,000000	140,981250
48128,000000	143,179688
49152,000000	145,670703
50176,000000	148,158359
51200,000000	150,721953
52224,000000	153,143125
53248,000000	155,110469
54272,000000	157,634531
55296,000000	160,035625
56320,000000	161,683594
57344,000000	163,980547
58368,000000	166,359219
59392,000000	168,517656
60416,000000	170,475469
61440,000000	172,637578
62464,000000	174,336875
63488,000000	176,701094
64512,000000	178,566250
65536,000000	180,993125
66560,000000	182,836797
67584,000000	184,991875
68608,000000	186,560547
69632,000000	188,350469
70656,000000	189,931484
71680,000000	192,185547
72704,000000	193,569297
73728,000000	195,162656
74752,000000	197,038828
75776,000000	198,766875
76800,000000	200,429375
77824,000000	201,943984
78848,000000	203,509063
79872,000000	205,048828
80896,000000	206,537813
81920,000000	208,076719
82944,000000	209,631328
83968,000000	210,962266
84992,000000	212,290781
86016,000000	213,778828
87040,000000	215,084609
88064,000000	216,600469
89088,000000	217,931016
90112,000000	219,197891
91136,000000	220,400234
92160,000000	221,629141
93184,000000	222,793516
94208,000000	223,923203
95232,000000	225,103594
96256,000000	226,034844
97280,000000	227,321484
98304,000000	228,556484
99328,000000	229,522344
100352,000000	230,786875
101376,000000	231,781563
102400,000000	232,807187
103424,000000	233,905156
104448,000000	234,693437
105472,000000	235,637188
106496,000000	236,483750
107520,000000	237,327969
108544,000000	238,218594
109568,000000	238,999531
110592,000000	239,971875
111616,000000	240,812031
112640,000000	241,725313
113664,000000	242,480391
114688,000000	243,085469
115712,000000	243,775703
116736,000000	244,609609
117760,000000	245,451562
118784,000000	246,203281
119808,000000	246,814063
120832,000000	247,476250
121856,000000	248,048594
122880,000000	248,772031
123904,000000	249,329688
124928,000000	249,814766
125952,000000	250,432656
126976,000000	251,099766
128000,000000	251,512734
129024,000000	252,109141
130048,000000	252,674922
131072,000000	253,178594
132096,000000	253,618672
133120,000000	254,199141
134144,000000	254,592344
135168,000000	255,159766
136192,000000	255,542734
137216,000000	256,182109
138240,000000	256,420078
139264,000000	256,883203
140288,000000	257,216484
141312,000000	257,655078
142336,000000	258,106484
143360,000000	258,488203
144384,000000	258,832109
145408,000000	259,249609
146432,000000	259,571875
147456,000000	259,952578
148480,000000	260,396406
149504,000000	260,542969
150528,000000	260,870781
151552,000000	261,241953
152576,000000	261,476172
153600,000000	261,823047
154624,000000	262,062734
155648,000000	262,378437
156672,000000	262,601406
157696,000000	262,871016
158720,000000	263,043750
159744,000000	263,358672
160768,000000	263,650625
161792,000000	263,990000
162816,000000	264,083672
163840,000000	264,420937
164864,000000	264,712812
165888,000000	264,849062
166912,000000	265,009531
167936,000000	265,146094
168960,000000	265,398438
169984,000000	265,644609
171008,000000	265,795625
172032,000000	265,998438
173056,000000	266,178906
174080,000000	266,251484
175104,000000	266,367266
176128,000000	266,602500
177152,000000	266,735156
178176,000000	266,793828
179200,000000	266,821875
180224,000000	267,144297
181248,000000	267,170625
182272,000000	267,314922
183296,000000	267,457500
184320,000000	267,613281
185344,000000	267,664297
186368,000000	267,860469
187392,000000	268,000469
188416,000000	268,172422
189440,000000	268,241563
190464,000000	268,391250
191488,000000	268,463828
192512,000000	268,522891
193536,000000	268,541797
194560,000000	268,644531
195584,000000	268,676172
196608,000000	268,906484
197632,000000	268,952187
198656,000000	269,144219
199680,000000	269,161016
200704,000000	269,228125
201728,000000	269,343281
202752,000000	269,345312
203776,000000	269,517891
204800,000000	269,560703
205824,000000	269,632344
206848,000000	269,620547
207872,000000	269,613281
208896,000000	269,823828
209920,000000	269,778984
210944,000000	269,891953
211968,000000	269,850469
212992,000000	270,086641
214016,000000	270,037187
215040,000000	270,074453
216064,000000	269,993516
217088,000000	270,201328
218112,000000	270,165625
219136,000000	270,078359
220160,000000	270,103906
221184,000000	270,207578
222208,000000	270,092656
223232,000000	270,231875
224256,000000	270,277422
225280,000000	270,347266
226304,000000	270,370312
227328,000000	270,406016
228352,000000	270,375312
229376,000000	270,373672
230400,000000	270,432656
231424,000000	270,388125
232448,000000	270,455859
233472,000000	270,547266
234496,000000	270,454609
235520,000000	270,534063
236544,000000	270,546016
237568,000000	270,438047
238592,000000	270,561641
239616,000000	270,506953
240640,000000	270,398438
241664,000000	270,500156
242688,000000	270,512812
243712,000000	270,461953
244736,000000	270,490938
245760,000000	270,522891
246784,000000	270,465234
247808,000000	270,509297
248832,000000	270,586563
249856,000000	270,645234
250880,000000	270,507734
251904,000000	270,556094
252928,000000	270,706094
253952,000000	270,585391
254976,000000	270,539141
256000,000000	270,520703
257024,000000	270,555391
258048,000000	270,522969
259072,000000	270,576562
260096,000000	270,571172
