1D 255 -0,500000 254,500000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	70,806328
1,000000	71,343828
2,000000	71,634766
3,000000	72,075000
4,000000	72,192422
5,000000	72,887500
6,000000	73,341875
7,000000	73,736797
8,000000	74,695234
9,000000	75,350391
10,000000	75,997422
11,000000	76,887734
12,000000	77,237969
13,000000	77,556328
14,000000	78,648281
15,000000	78,538281
16,000000	78,785469
17,000000	79,285313
18,000000	79,198750
19,000000	80,337656
20,000000	80,800547
21,000000	81,252891
22,000000	82,211953
23,000000	82,867734
24,000000	84,057188
25,000000	84,354453
26,000000	84,492031
27,000000	84,973516
28,000000	85,685469
29,000000	85,752109
30,000000	86,177500
31,000000	86,587734
32,000000	87,133828
33,000000	88,038906
34,000000	88,646484
35,000000	89,226484
36,000000	90,068828
37,000000	90,508750
38,000000	90,891953
39,000000	91,588359
40,000000	91,683125
41,000000	91,870625
42,000000	92,642813
43,000000	92,449297
44,000000	92,864766
45,000000	93,038438
46,000000	93,908047
47,000000	94,302109
48,000000	95,244219
49,000000	95,838594
50,000000	96,220078
51,000000	96,409063
52,000000	96,490000
53,000000	96,277969
54,000000	96,285469
55,000000	96,127500
56,000000	97,052969
57,000000	96,885937
58,000000	97,328203
59,000000	97,352031
60,000000	98,007188
61,000000	98,103125
62,000000	97,656797
63,000000	97,795312
64,000000	97,213125
65,000000	97,078359
66,000000	96,562813
67,000000	96,572656
68,000000	96,104531
69,000000	95,618516
70,000000	95,015781
71,000000	94,757188
72,000000	94,167891
73,000000	93,834922
74,000000	92,538047
75,000000	91,250781
76,000000	90,022344
77,000000	88,380000
78,000000	87,387188
79,000000	85,295469
80,000000	84,431875
81,000000	82,363672
82,000000	80,638750
83,000000	79,516250
84,000000	76,787422
85,000000	74,379531
86,000000	71,644688
87,000000	68,213906
88,000000	65,767422
89,000000	61,679297
90,000000	58,896406
91,000000	54,753906
92,000000	50,826094
93,000000	48,469141
94,000000	43,446953
95,000000	40,438047
96,000000	36,312500
97,000000	32,157266
98,000000	28,919062
99,000000	23,156719
100,000000	19,782344
101,000000	15,803125
102,000000	12,013438
103,000000	9,912734
104,000000	6,554197
105,000000	5,512272
106,000000	4,440302
107,000000	3,793881
108,000000	3,255986
109,000000	3,180685
110,000000	2,639215
111,000000	2,687362
112,000000	2,573193
113,000000	2,450651
114,000000	0,000000
115,000000	0,000000
116,000000	0,000000
117,000000	0,000000
118,000000	0,000000
119,000000	0,000000
120,000000	0,000000
121,000000	0,000000
122,000000	0,000000
123,000000	0,000000
124,000000	0,000000
125,000000	0,000000
126,000000	0,000000
127,000000	0,000000
128,000000	0,000000
129,000000	0,000000
130,000000	0,000000
131,000000	0,000000
132,000000	0,000000
133,000000	0,000000
134,000000	0,000000
135,000000	0,000000
136,000000	0,000000
137,000000	0,000000
138,000000	0,000000
139,000000	0,000000
140,000000	0,000000
141,000000	0,000000
142,000000	0,000000
143,000000	0,000000
144,000000	0,000000
145,000000	0,000000
146,000000	0,000000
147,000000	0,000000
148,000000	0,000000
149,000000	0,000000
150,000000	0,000000
151,000000	0,000000
152,000000	0,000000
153,000000	0,000000
154,000000	0,000000
155,000000	0,000000
156,000000	0,000000
157,000000	0,000000
158,000000	0,000000
159,000000	0,000000
160,000000	0,000000
161,000000	0,000000
162,000000	0,000000
163,000000	0,000000
164,000000	0,000000
165,000000	0,000000
166,000000	0,000000
167,000000	0,000000
168,000000	0,000000
169,000000	0,000000
170,000000	0,000000
171,000000	0,000000
172,000000	0,000000
173,000000	0,000000
174,000000	0,000000
175,000000	0,000000
176,000000	0,000000
177,000000	0,000000
178,000000	0,000000
179,000000	0,000000
180,000000	0,000000
181,000000	0,000000
182,000000	0,000000
183,000000	0,000000
184,000000	0,000000
185,000000	0,000000
186,000000	0,000000
187,000000	0,000000
188,000000	0,000000
189,000000	0,000000
190,000000	0,000000
191,000000	0,000000
192,000000	0,000000
193,000000	0,000000
194,000000	0,000000
195,000000	0,000000
196,000000	0,000000
197,000000	0,000000
198,000000	0,000000
199,000000	0,000000
200,000000	0,000000
201,000000	0,000000
202,000000	0,000000
203,000000	0,000000
204,000000	0,000000
205,000000	0,000000
206,000000	0,000000
207,000000	0,000000
208,000000	0,000000
209,000000	0,000000
210,000000	0,000000
211,000000	0,000000
212,000000	0,000000
213,000000	0,000000
214,000000	0,000000
215,000000	0,000000
216,000000	0,000000
217,000000	0,000000
218,000000	0,000000
219,000000	0,000000
220,000000	0,000000
221,000000	0,000000
222,000000	0,000000
223,000000	0,000000
224,000000	0,000000
225,000000	0,000000
226,000000	0,000000
227,000000	0,000000
228,000000	0,000000
229,000000	0,000000
230,000000	0,000000
231,000000	0,000000
232,000000	0,000000
233,000000	0,000000
234,000000	0,000000
235,000000	0,000000
236,000000	0,000000
237,000000	0,000000
238,000000	0,000000
239,000000	0,000000
240,000000	0,000000
241,000000	0,000000
242,000000	0,000000
243,000000	0,000000
244,000000	0,000000
245,000000	0,000000
246,000000	0,000000
247,000000	0,000000
248,000000	0,000000
249,000000	0,000000
250,000000	0,000000
251,000000	0,000000
252,000000	0,000000
253,000000	0,000000
254,000000	0,000000
