#lambda/nm	DC	C1
317.405	609.2	620.8
317.798	613	612
318.192	616.8	611.2
318.585	605	612.4
318.979	618	612.2
319.372	600.2	602.2
319.766	610.4	607.6
320.16	616.4	625.6
320.553	627.8	621.4
320.947	625.2	627.6
321.341	612	606
321.735	606.4	608
322.129	603.2	591.4
322.523	631.2	626.8
322.917	600.2	606.4
323.311	621.8	620
323.705	611.8	605.2
324.099	616.4	610.8
324.494	627	621.8
324.888	619.6	621
325.282	607.2	603.2
325.677	625	620
326.071	616.6	622.2
326.466	618.2	618
326.861	610.8	616
327.255	620.4	616.6
327.65	624.4	618
328.045	617.6	627.6
328.44	610.2	608.6
328.835	610.6	614.2
329.23	604.8	599
329.625	627.6	632.6
330.02	614.4	610.2
330.415	634.8	627.6
330.81	610.6	622.8
331.206	614	611
331.601	607.2	609.8
331.996	620.6	623.8
332.37	632.8	642
332.766	600.6	601.4
333.161	638.6	631.4
333.557	606.2	608.8
333.953	610.8	603.4
334.348	819.4	811.4
334.744	612.6	614.2
335.14	613.8	602
335.536	607	611.8
335.932	621.2	621.2
336.328	616.8	608
336.724	617.8	621.4
337.12	609.8	622.2
337.516	614.6	615.8
337.913	608.8	617
338.309	619	626
338.705	612.8	608.4
339.102	621.8	611.6
339.498	601.4	604.6
339.895	620.2	629.8
340.291	605.2	602.6
340.688	625.4	621
341.085	605	602.2
341.481	600.8	614
341.878	614.6	608.2
342.275	627.6	626.2
342.672	599.2	606
343.069	612.8	601.2
343.466	607.8	599.2
343.842	623	619.6
344.239	610.8	609
344.636	610	609.8
345.033	600.6	606.8
345.431	610.2	608
345.828	609.4	626.4
346.225	602.6	602
346.623	652.6	636.2
347.02	609.6	609.6
347.418	622	617.2
347.816	625.8	619.8
348.213	612.6	604
348.611	611.8	616
349.009	611.8	604.4
349.407	626.4	620
349.805	594	601.2
350.203	602.2	601.6
350.601	625	621.2
350.999	599.4	605
351.397	662.8	665.8
351.795	606.8	610.8
352.193	610	616.4
352.57	620.6	622
352.969	619.2	618.6
353.367	599.2	600.8
353.766	605.2	596.2
354.164	608	614
354.563	622.8	621
354.961	612.4	612.2
355.36	610.2	610.8
355.759	603.2	605.6
356.158	599.8	597.2
356.557	602.2	604.6
356.956	606.6	598.8
357.355	590	592.4
357.754	617.4	611.2
358.153	617.8	613
358.552	632.8	636.4
358.951	613.8	603
359.35	622.4	617.8
359.75	610.4	611.2
360.149	604.8	608.2
360.527	599.8	595
360.926	603.8	604.2
361.326	610	611.8
361.726	609.8	611.8
362.125	604.4	605.8
362.525	615.4	611.2
362.925	610.4	614.4
363.325	616.8	609.8
363.724	606	604.8
364.124	605.6	601.2
364.524	599.2	598.6
364.924	609.2	608.2
365.324	627.4	612.2
365.725	597	594.2
366.125	608.4	613.6
366.525	610.2	606.8
366.904	600.2	604.2
367.304	594	596.8
367.705	630.8	624.8
368.105	622.8	622.4
368.506	607.6	604
368.906	619.4	610.6
369.307	610.2	611.2
369.708	614.8	617.6
370.108	589.2	605
370.509	616.2	620.6
370.91	605	608
371.311	618.4	616.2
371.712	619.4	608
372.113	612	610.2
372.514	593.2	604.4
372.894	610.4	612.6
373.295	596.8	606
373.696	616.6	618.4
374.097	621.6	614
374.499	638.4	637.8
374.9	609	616
375.301	604.8	602
375.703	612	621.6
376.105	598.6	601.8
376.506	612	608.4
376.908	608.6	609
377.309	606	610.2
377.711	608	620.6
378.113	606	603.6
378.493	614.6	613.8
378.895	597.4	615
379.297	607.2	620
379.699	598.6	600
380.102	615.2	614.6
380.504	608.2	613.8
380.906	609	612.8
381.308	637.6	640.2
381.71	610.8	608.8
382.113	619.2	625.6
382.515	615.6	607.2
382.918	618	613.2
383.299	614.6	618.2
383.701	618.6	618.6
384.104	615.6	616.2
384.507	592.8	600.8
384.909	608	618
385.312	595.8	599
385.715	597.8	601
386.118	614.8	608
386.521	603.6	606.4
386.924	619.6	623.8
387.327	605.6	610.2
387.709	600.4	599
388.112	596.8	605.6
388.515	612.4	608
388.918	610.8	618.2
389.322	617.8	614.4
389.725	603.2	612.2
390.129	638.6	637.4
390.532	625.2	615
390.936	611.4	609.6
391.339	611.6	610.2
391.743	609.2	625.4
392.125	610.2	609.2
392.529	619.6	627.6
392.933	625	633.4
393.337	613.4	622.8
393.74	612.2	604.4
394.144	622.6	619.8
394.548	609.4	611.8
394.953	612.2	619.6
395.357	613.2	621
395.761	616.6	610.4
396.144	624	620.2
396.548	625	622.8
396.952	614.8	617.4
397.357	620.6	623.2
397.761	614.4	615.4
398.166	619.4	624.4
398.57	618	623.4
398.975	609.6	609
399.379	629.8	626.8
399.763	666.6	666.6
400.168	622.8	627.4
400.572	622	628.6
400.977	621.8	631.8
401.382	647	651
401.787	637.8	645
402.192	635.2	644.4
402.597	652.2	642.2
403.002	620	627.8
403.386	658	641
403.791	654.6	656.6
404.197	641.6	638.6
404.602	645	650.8
405.007	652.2	650.2
405.413	647.8	645.4
405.818	658	657.6
406.224	661.8	653.4
406.608	655.4	657.8
407.014	671.8	673.4
407.42	699	703.4
407.825	678.2	688.6
408.231	704	700.4
408.637	711.4	711.6
409.043	721.6	724.8
409.449	719.6	713.4
409.834	721.4	732
410.24	746	740.2
410.646	764.4	761.2
411.052	775.6	772
411.458	792.4	792.4
411.865	798	809
412.271	821	821.6
412.677	828	832.6
413.062	864	855.2
413.469	855.4	863
413.875	917	911.8
414.282	922.4	927.4
414.689	947.4	937.4
415.095	984.2	989.6
415.502	999.6	1002.6
415.888	1046.4	1022
416.294	1058.2	1052.4
416.701	1136	1129
417.108	1125	1140.2
417.515	1204.2	1187.6
417.923	1222	1205.2
418.33	1270.6	1277
418.715	1321.4	1298.4
419.123	1338.8	1342.6
419.53	1399.6	1397.6
419.937	1462	1466.4
420.345	1525.6	1536.2
420.752	1564.2	1573.6
421.16	1639.4	1644.2
421.546	1697.2	1707.6
421.953	1771.8	1790.8
422.361	1834.6	1844.6
422.769	1918.8	1931.4
423.177	1991.8	1996.8
423.585	2092.8	2096.6
423.992	2176.4	2193.6
424.379	2275.2	2278.4
424.787	2375.4	2364.8
425.195	2486.8	2503.2
425.603	2581.2	2573.4
426.011	2700.8	2730
426.419	2844.6	2848.2
426.806	2978.2	2980.2
427.214	3100.2	3103.6
427.623	3236	3271.4
428.031	3406.2	3419.8
428.44	3562.8	3569.4
428.848	3760.6	3764.4
429.235	3934.6	3925.4
429.644	4108.8	4118.8
430.053	4301.2	4291
430.461	4510	4540.6
430.87	4758	4793
431.279	4972.6	4971.4
431.666	5200.4	5236
432.075	5410.8	5491.6
432.484	5712.2	5756
432.893	5965.6	6019.4
433.302	6271.2	6332
433.711	6553	6629.6
434.099	6837	6918.6
434.508	7157.6	7235.8
434.918	7461.6	7552.4
435.327	7838.8	7904.6
435.737	8145.2	8282.8
436.125	8533.6	8645.8
436.534	8961	9093
436.944	9352.2	9447
437.353	9759	9869.2
437.763	10208.2	10293.6
438.173	10611.6	10733.4
438.561	11052	11170.6
438.971	11487.4	11694.6
439.381	12006.8	12217.4
439.791	12562.8	12687.6
440.201	13016.4	13255.8
440.589	13575.8	13803.4
440.999	14201.6	14383.6
441.409	14760	15037
